Column1;Column2;Column3;Column4;Column5;Column6
;TITULO;AUTOR;TECNICA;MEDIDAS (hxa) mm;FECHA
IG-0001;Apunte de mujer I;Antonio Campillo;Carboncillo;445 x 310;1962
IG-0002;Apunte de mujer desnuda II;Antonio Campillo;Carboncillo sanguina;280 x 205;1962
IG-0003;Apunte de mujer desnuda III;Antonio Campillo;Sanguina;445 x 310;1962
IG-0004;Acequia en oto¤o;Almela Costa;àleo/Lienzo;620 x 800;1945
IG-0005;Santuario de la Fuensanta;Falgas;àleo/Lienzo;735 x 1005;1947
IG-0006;"Murcia, Rinc¢n junto al Mercado de
Ver¢nicas";Mu¤oz Barber n;àleo/Lienzo;700 x 1320;S.XX
IG-0008;Murcia desde el r¡o;Pedro Serna;Acuarela/Papel;245 x 345;2001
IG-0009;El patio de las Claras;Pedro Serna;Acuarela/Papel;350 x 460;2001
IG-0010;Entierro de la Sardina;Nicol s de Maya;Mixta/Papel;450 x 295;2003
IG-0010(1);Entierro de la Sardina I;Nicol s de Maya;Mixta/Papel;290 x 410;2003
IG-0010(2);Entierro de la Sardina II;Nicol s de Maya;Mixta/Papel;290 x 410;2003
IG-0011;Cartel Feria de Murcia. 1997;Nicol s de Maya;Mixta/Tabla;770 x 550;1997
IG-0007;"Cartel Festival Internacional de
Folklore en el Mediterr neo.";Nicol s de Maya;Mixta/Papel;1000 x 700;2016
IG-0012;Arrabal de la nueva Arrixaca;"Antonio S nchez
Mart¡nez";àleo/Lienzo;1300 x 970;2010
IG-0015;"Cartel Festival Murcia 3 Culturas
2011";"Antonio S nchez
Mart¡nez";àleo/Lienzo;1000 x 730;2011
IG-0013;"Recreaci¢n del Alcazar Mayor de
Murcia";Hurtado Mena;àleo/Lienzo;650 x 1000;2010
IG-0014;"Los ba¤os de la Calle San Lorenzo
?Casa de ba¤os (evocaci¢n II)?";Manolo Pardo;Mixta/Acr¡lico Lienzo;970 x 1300;2010
IG-0018;Secando hijuela;"Jos‚ Mar¡a Sanz
Fargas";àleo/Tabla;220 x 440;1928
IG-0019;Grabado de Saavedra Fajardo;Francisco Ramos;Aguafuerte;460 x 330;S.XIX
IG-0020;"Grabado de Jos‚ Mo¤ino.
Conde de Floridablanca";Antonio Guerrero;Aguafuerte;460 x 330;S.XIX
IG-0021;Alegor¡a a la farmacopea;"Manuel Mart¡nez
Molla";àleo/Lienzo;3220 x 4100;1902
IG-0022;"Vista de la plaza y avenida de enlace
de Murcia con la estaci¢n de
ferrocarril de Murcia ? Zaraiche";Jos‚ S nchez Mar¡n;Mixta/Papel;590 x 1160;1933
IG-0084;"Boceto para la c£pula del Santuario
de la Fuensanta. 1";Pedro Flores;"Molde de escayola
Pintura al fresco";630 x 570;A¤os 60
IG-0085;"Boceto para la c£pula del Santuario
de la Fuensanta. 2";Pedro Flores;"Molde de escayola
Pintura al fresco";630 x 570;A¤os 60
IG-0086;"Boceto para la c£pula del Santuario
de la Fuensanta. 3";Pedro Flores;"Molde de escayola
Pintura al fresco";630 x 570;A¤os 60
IG-0087;"Boceto para la c£pula del Santuario
de la Fuensanta. 4";Pedro Flores;"Molde de escayola
Pintura al fresco";630 x 570;A¤os 60
IG-0088;"Boceto para el coro del Santuario
de la Fuensanta";Pedro Flores;Gouache/Papel;300 x 590;1962
IG-0089;"Cartel de Corornaci¢n Virgen de la
Fuensanta.";Luis Gil de Vicario;Gouache/Papel;1700 x 1000;1927
IG-0090;"Boceto para c£pula ?Romer¡a de la
Fuensanta?";Pedro Flores;Papel;175 x 655;1960
IG-0091;Romer¡a de la Fuensanta;µngel Pina Nortes;Dibujo. Tinta/Papel;380 x 265;1938
IG-0092;Bodeg¢n de oto¤o;µngel Pina Nortes;àleo/Lienzo;800 x 650;2010
IG-0093;"Cartel de las fiestas de primavera
2006";Rafael Terr‚s;Acr¡lico/Tabla;985 x 690;2006
IG-0094;"Boceto para una carroza del
entierro de la sardina. ?Vulcano?";"Antonio Gonz lez
Conte";Tinta/Papel/L piz;160 x 370;1966
IG-0095;"Boceto para una carroza de la
Batalla de las Flores ?Oriental?";"Antonio Gonz lez
Conte";Papel;260 x 330;1960
IG-0096;"Cartel de Semana Santa y Fiestas de
Primavera";Luis Garay;Gouache/Papel;1250 x 860;1950
IG-0097;Cartel Fiesta de Carnaval 1;Luis Garay;àleo/Lienzo;1050 x 740;Ca 1950
IG-0098;Retrato de Julio Alvarez G¢mez;Luis Garay;àleo/Lienzo;300 x 190;1945
IG-0023;Cartel Fiesta de Carnaval 2;Luis Garay;àleo/Lienzo;1000 x 700;Ca 1950
IG-0015;La Luz;"Antonio Mart¡nez
Mengual";àleo/Lienzo;730 x 920;1970
IG-0016;Catedral de Murcia;"Antonio Mart¡nez
Mengual";Mixta/Papel;680 x 470;1973
IG-0017;"Ilustraciones para libro
?Cr¢nica particular?. 10 obras";"Antonio Mart¡nez
Mengual";Tinta China/Papel;"320 x 230
Individual";1999
IG-0025;"Cartel Festival Internacional de
Folklore en el Mediterr neo.";"Antonio Mart¡nez
Mengual";àleo/Papel;510 x 700;2004
IG-0024;La Diosa Blanca;"Antonio Mart¡nez
Mengual";Acr¡lico/Papel;1000 x 700;2019
IG-0026;Homenaje a Miguel Hern ndez;Alarc¢n Felices;Mixta/Lienzo;450 x 450;2007
IG-0027;Sin t¡tulo;Sagbe;Gouache/Papel;650 x 520;
IG-0028;Retrato mujer;Sagbe;Gouache/Papel;650 x 520;1961?
IG-0029;"Semana Internacional de la Huerta
y el Mar de Los Alc zares";Carmen Art¡gas;Acr¡lico/Tabla;720 x 590;1988
IG-0030;Plaza de Santo Domingo;Carmen Art¡gas;Acr¡lico/Lienzo;500 x 610;
IG-0031;Bajo el manto de la Fuensanta;Carmen Art¡gas;Acr¡lico/Lienzo;430 x 630;Ca 2019
IG-0032;Cartel Feria de Murcia.;Manuel P‚rez;àleo/Lienzo;1160 x 890;2001
IG-0033;Jerem¡as el libre;Pedro Cano;àleo/Lienzo;900 x 900;1977
IG-0034;Sin t¡tulo;Alfonso Albacete;Acuarela/Papel;560 x 770;Ca 1980
IG-0035;Ventana (triptico);"Mercedes Mart¡nez
Meseguer";Mixta;640 x 1000;1980
IG-0036;Desfile de las flores. Cartel;"M¦ Angeles S nchez
Alc zar";Mixta/Papel;270 x 190;2004
IG-0037;Retrato de Manuel Massotti Escuder;Ca¤izares;Mixta/Papel;620 x 470;
IG-0038;"Retrato de Antonio Zamora
Mart¡nez";Mu¤oz Barber n;àleo/Tabla;920 x 730;1955
IG-0039;Rueda de la ¥ora;Ester Monasterio;Acuarela/Papel;1000 x 700;2019
IG-0040;Escalera museo. Detalle;Ester Monasterio;Acuarela/Papel;150 x 300;2019
IG-0041;"Festival de Folklore en el
Mediterr neo. 2004";Esteban Linares;àleo/Papel;700 x 510;2004
IG-0042;Feria de Murcia 2006;Rosa Vivanco;Acr¡lico/Madera;1100 x 760;2006
IG-0043;Huertana;Antonio Balibrea;àleo/Lienzo;1620 x 1160;1995
IG-0044;Sin t¡tulo;Carlos Valenciano;àleo/Tabla;470 x 640;1954
IG-0045;Paisaje rural;Carlos Valenciano;àleo/Lienzo;500 x 730;1954
IG-0046;"Cartel 3 Culturas. Tres cabezas de
hombres";Mart¡nez C novas;Mixta/Tabla;1000 x 700;2016
IG-0047;"Cartel 39 Festival Internacional de
Folklore en el Mediterr neo";"Manuel Mart¡nez
Torres";Acr¡lico/Tabla;570 x 790;2006
IG-0048;Le¢n Malec¢n;F. Oliva;àleo/Lienzo;700 x 550;Ca 1950
IG-0049;"Cartel Festival de folklore en el
Mediterr neo";Eva Mauricio;Mixta/Papel;700 x 500;2018
IG-0052;Mar y Paz. Un mar en crisis;Cantabella;T‚cnica Mixta;102 x 102;2007
IG-0053;Dolorosa;Cecilio Pineda;Aguafuerte/Tela;600 x 420;
IG-0054;Dise¤o obra Arqueolog¡a Medieval;C novas Almagro;Impresi¢n Digital;900 x 1580;2016
IG-0055;Escalera museo. Boceto;Ester Monasterio;Acuarela/Papel;150 x 300;2019
IG-0056;Ilustraci¢n Torero;Victorio & Lucchino;L piz/Papel;410 x 290;2013
IG-0057;Sin t¡tulo;Manuel Barnuevo;Mixta;1000 x 700;2016
IG-0058;Sin t¡tulo;Manuel P‚rez;Mixta/Papel;215 x 290;2008
IG-0059;Sin t¡tulo;Manuel P‚rez;Mixta/Papel;110 x 180;2008
